group,year,derivative_window_hours,samples,median_storage_rate_m3s,p10_storage_rate_m3s,p90_storage_rate_m3s,closure_bias_m3s,closure_mae_m3s,closure_rmse_m3s,closure_median_ratio,closure_within_20pct_percent
stage_moving_or_mixed,2025,6,2995,-22.649198183757427,-84.53734758404352,72.18553242540801,-782.4305269357424,816.9753325630189,902.4082138755032,0.6955438474050556,35.12520868113522
all,2020,12,160,-10.44257295071958,-30.47764250533876,11.751539414565041,-193.2608995150543,696.5712784969995,954.4458481189126,0.6696288906612169,1.25
all,2021,12,7805,0.28255142236180186,-95.07687471002023,104.25120735995051,-594.5950020458525,824.4529570114362,1060.7840634953957,0.7018086310055354,38.795643818065344
all,2022,12,7775,-0.9477609267603192,-168.35159693817937,182.8967939578762,-697.31088000182,823.9100147142743,1079.5872182196833,0.6926107192629134,41.672025723472665
all,2023,12,8335,-2.941139291283088,-143.12989439360555,153.28732447517774,-681.6760538953172,730.1753955260524,809.7289211294158,0.7465359400399207,39.7120575884823
all,2024,12,8661,2.3956316150424795,-127.92322010141332,120.78581071472951,-656.1853616523691,738.1182338122127,845.5173126183265,0.7679083476083449,45.676018935457805
all,2025,12,8247,-6.320533137536021,-132.06949871246405,139.79671105180023,-704.8507392801561,748.3398395071491,840.0584847705811,0.7706529521716452,45.361949799927245
falling_flow,2020,12,0,,,,,,,,
falling_flow,2021,12,569,-134.27873503205745,-327.2604061190686,-1.868261410606687,-444.59029955445646,782.9832756834107,1176.1961636402605,0.8931607871244133,67.48681898066783
falling_flow,2022,12,988,-177.47769136095542,-540.8137849853578,-0.1460513115319322,-698.1675921644592,910.0455852053493,1281.2222936660485,0.8733907505834695,53.34008097165992
falling_flow,2023,12,1479,-119.27098721909285,-367.12672460611435,-11.613561875228209,-690.7551962334346,749.7966729392668,868.741513627152,0.800904329551165,49.763353617308994
falling_flow,2024,12,1789,-64.84886352017038,-246.50086104999752,137.51880050727473,-365.59337575609413,595.6755050229355,707.6928282857269,0.8983776306684017,67.57965343767468
